,duration,lon,trip_id,lat
0,0,-73.96863,0,40.75903
1,28,-73.96848,0,40.75897
2,56,-73.96842,0,40.75904
3,84,-73.96803,0,40.75959
4,112,-73.96598,0,40.75872
5,140,-73.96579,0,40.75863
6,168,-73.96624,0,40.758
7,196,-73.96715,0,40.75676
8,224,-73.96806,0,40.75551
9,252,-73.96897,0,40.75425
10,280,-73.97034,0,40.75237
11,308,-73.97193,0,40.75019
12,336,-73.97361,0,40.74793
13,364,-73.97444,0,40.74679
14,392,-73.97457,0,40.74657
15,420,-73.97466,0,40.74644
16,448,-73.97494,0,40.74607
17,476,-73.9758,0,40.74491
18,504,-73.97639,0,40.74412
19,532,-73.97683,0,40.74351
20,560,-73.97728,0,40.74287
21,588,-73.9795,0,40.74382
22,616,-73.98268,0,40.74515
23,644,-73.98222,0,40.74578
24,672,-73.98197,0,40.74568
25,696,-73.98197,1,40.74568
26,720,-73.97907,1,40.74445
27,744,-73.97683,1,40.74351
28,768,-73.97728,1,40.74287
29,792,-73.97767,1,40.74236
30,816,-73.97774,1,40.74226
31,840,-73.97749,1,40.74216
32,864,-73.97733,1,40.74212
33,888,-73.97576,1,40.74145
34,912,-73.97534,1,40.74127
35,936,-73.97525,1,40.7414
36,991,-73.97525,2,40.7414
37,1046,-73.97303,2,40.74446
38,1101,-73.97123,2,40.74693
39,1156,-73.97341,2,40.74785
40,1211,-73.97498,2,40.7485
41,1266,-73.97539,2,40.74868
42,1321,-73.97744,2,40.74953
43,1376,-73.98068,2,40.7509
44,1431,-73.98713,2,40.75362
45,1486,-73.98732,2,40.75303
46,1541,-73.98754,2,40.75218
47,1596,-73.99208,2,40.75409
48,1651,-73.99163,2,40.75471
49,1706,-73.99142,2,40.75462
50,1715,-73.99142,3,40.75462
51,1724,-73.99163,3,40.75471
52,1733,-73.99118,3,40.75533
53,1742,-73.99374,3,40.75641
54,1751,-73.99404,3,40.75654
55,1760,-73.99427,3,40.75623
56,1769,-73.99465,3,40.75571
57,1778,-73.99466,3,40.75564
58,1787,-73.9952,3,40.75489
59,1796,-73.99584,3,40.75406
60,1805,-73.99613,3,40.75364
61,1814,-73.99632,3,40.75341
62,1823,-73.99674,3,40.75282
63,1832,-73.9968,3,40.75271
64,1841,-73.99734,3,40.75201
